,experiment name,average intensity,number of pillars,type,,,
0,20230320-02-5,280944.1269,100,5.3,,,
1,20230320-02-6,119302.9511,99,5.3,,,
2,20230320-02-7,754962.1644,62,5.3,,,
3,20230320-02-8,102590.618,55,5.3,,,
4,20230320-02-9,61556.21,39,5.3,,5.3 avg intensity,13.2 avg intensity
5,20230320-03-5,241682.2832,104,5.3,,279399.4252,462692.988
6,20230320-03-6,82121.28905,118,5.3,,,
7,20230320-03-7,657650.6095,61,5.3,,,
8,20230320-03-8,84982.30833,52,5.3,,5.3 avg pillars,13.2 avg pillars
9,20230320-03-9,51639.03393,38,5.3,,65.02469136,37.33333333
10,20230320-04-5,199018.8607,104,5.3,,,
11,20230320-04-6,67601.56762,129,5.3,,,
12,20230320-04-7,547929.0284,60,5.3,,,
13,20230320-04-8,71633.05692,53,5.3,,,
14,20230320-04-9,40705.95849,44,5.3,,,
15,20230320-05-5,165478.8941,99,5.3,,,
16,20230320-05-7,368451.7205,77,5.3,,,
17,20230320-05-8,65307.44932,49,5.3,,,
18,20230320-05-9,40078.0137,38,5.3,,,
19,20230320-06-5,164895.3229,92,5.3,,,
20,20230320-06-7,320106.8622,77,5.3,,,
21,20230320-06-8,52059.57503,57,5.3,,,
22,20230320-06-9,37559.81585,39,5.3,,,
23,20230323-01-1,324205.954,43,5.3,,,
24,20230323-01-2,1072633.099,69,5.3,,,
25,20230323-01-3,1168173.753,50,5.3,,,
26,20230323-01-4,428781.5905,61,5.3,,,
27,20230323-01-5,224744.5939,54,5.3,,,
28,20230323-01-6,500974.9629,52,5.3,,,
29,20230323-01-7,611260.6232,49,5.3,,,
30,20230323-01-8,182248.7302,80,5.3,,,
31,20230323-03-1,227559.8423,40,5.3,,,
32,20230323-03-2,794660.1674,68,5.3,,,
33,20230323-03-3,989722.1009,37,5.3,,,
34,20230323-03-4,366279.1579,51,5.3,,,
35,20230323-03-5,174560.324,59,5.3,,,
36,20230323-03-6,344418.772,52,5.3,,,
37,20230323-03-7,538018.7823,44,5.3,,,
38,20230323-03-8,116033.8676,96,5.3,,,
39,20230323-04-1,171712.089,40,5.3,,,
40,20230323-04-2,665679.2117,67,5.3,,,
41,20230323-04-3,888627.7408,36,5.3,,,
42,20230323-04-4,303199.8614,52,5.3,,,
43,20230323-04-5,141569.8249,59,5.3,,,
44,20230323-04-6,196284.8588,72,5.3,,,
45,20230323-04-7,345678.0854,58,5.3,,,
46,20230323-04-8,102529.268,88,5.3,,,
47,20230323-05-1,127460.5168,43,5.3,,,
48,20230323-05-2,589652.8745,71,5.3,,,
49,20230323-05-3,810831.2698,37,5.3,,,
50,20230323-05-4,263890.626,51,5.3,,,
51,20230323-05-5,109860.3406,61,5.3,,,
52,20230323-05-6,149684.8828,82,5.3,,,
53,20230323-05-7,282263.11,57,5.3,,,
54,20230323-05-8,90647.45764,80,5.3,,,
55,20230323-06-1,91481.52686,48,5.3,,,
56,20230323-06-2,493922.3812,74,5.3,,,
57,20230323-06-3,721846.1343,36,5.3,,,
58,20230323-06-4,210434.1274,51,5.3,,,
59,20230323-06-5,92982.80433,68,5.3,,,
60,20230323-06-8,82000.72149,80,5.3,,,
61,20230323-07-1,108587.3516,51,5.3,,,
62,20230323-07-2,550430.1055,76,5.3,,,
