,avg_correlation,passed_stationary,inwards_edges,outwards_edges,gc_edge_prob,reciprocity,heterogeneity
1,0.1693499019035148,0.8771929824561404,0.2191780821917808,0.2328767123287671,0.2807692307692307,0.4383561643835616,0.085909808668278
5,0.2054488889238863,1.0,0.3305084745762712,0.2033898305084746,0.3710691823899371,0.559322033898305,0.1498878139173187
6,0.1339427392591472,0.975609756097561,0.3243243243243243,0.1351351351351351,0.1666666666666666,0.1621621621621621,0.0960211959468932
8,0.6157037118759143,0.4545454545454546,0.5,0.0,0.4285714285714285,0.6666666666666666,0.0816616849169888
9,0.1629770541499444,0.951219512195122,0.3809523809523809,0.1428571428571428,0.13125,0.0952380952380952,0.0934034952631088
12,0.3698441189851802,1.0,0.3,0.15,0.2197802197802197,0.275,0.1132226065168983
20,0.0388598322840245,1.0,0.3829787234042553,0.1702127659574468,0.5,0.5957446808510638,0.1549077394285738
30,0.2510648509063184,1.0,0.35,0.175,0.5714285714285714,0.5833333333333334,0.1384970423702658
2,0.1396991854456841,1.0,0.3125,0.125,0.4897959183673469,0.625,0.145973853727878
2,0.1396991854456841,1.0,0.3125,0.125,0.4897959183673469,0.625,0.145973853727878
08,0.03297137936636253,0.8235294117647058,0.4666666666666667,0.13333333333333333,0.24193548387096775,0.26666666666666666,0.08477204446761907
