,avg_correlation,passed_stationary,inwards_edges,outwards_edges,gc_edge_prob,reciprocity,heterogeneity
9.4_04.1,0.0484162463631355,0.9130434782608696,0.3809523809523809,0.0952380952380952,0.1981132075471698,0.2857142857142857,0.249170930607518
9.4_04.2,0.1701606776373424,0.8928571428571429,0.2222222222222222,0.3333333333333333,0.1698113207547169,0.3333333333333333,0.2044748421753996
9.4_06.1,0.2136099011479758,0.8333333333333334,0.5714285714285714,0.1428571428571428,0.0714285714285714,0.0,0.1100897692149582
9.4_06.2,0.1462348250898303,0.9523809523809524,0.0,0.0,0.05,0.0,0.0633461478145072
9.4_11.1,0.1160332020838389,0.9666666666666668,0.7272727272727273,0.0,0.0679012345679012,0.1818181818181818,0.1425890186212278
9.4_11.2,-0.0354529983498977,0.9090909090909092,0.3333333333333333,0.1666666666666666,0.1428571428571428,0.3333333333333333,0.0
9.4_12,0.0508618332280859,0.7575757575757576,0.2,0.2,0.0625,0.4,0.0
KD9.4_02,0.1570929657277014,1.0,0.25,0.1666666666666666,0.375,0.3333333333333333,0.2178329721854839
KD9.4_08,0.1039268809652998,0.8333333333333334,0.5,0.25,0.1538461538461538,0.0,0.1122959047405052
KD9.4_11,0.1382349769736384,0.7352941176470589,0.4,0.0,0.0462962962962962,0.4,0.0816616849169888
KD9.4_17,0.2016832401695557,0.6470588235294117,0.2222222222222222,0.1666666666666666,0.2093023255813953,0.2222222222222222,0.1599782283091414
KD9.4_53,0.22841671176748968,0.8285714285714285,0.08,0.2,0.19230769230769232,0.4,0.12968968199396386
